SKU,Handle,Option1 Name,Option1 Value,WS,RRP
T.A1910,alfano-tyrecontrol,Type,Alfano Tyrecontrol 2 Pressure | Temperature Gauge,550,660
T.A1900,alfano-tyrecontrol,Type,Alfano Tyrecontrol 2 Pressure Gauge,462,523
T.CR2450,alfano-pro-battery-cr2450,Title,Default Title,8,12
AS32660190010-2019,alpinestar-rain-suit,Type,Alpinestars Suit Rain Clear L,160,160
AS32660190009-2019,alpinestar-rain-suit,Type,Alpinestars Suit Rain Clear M,160,160
AS32660190008-2019,alpinestar-rain-suit,Type,Alpinestars Suit Rain Clear S,160,160
AS32660190007-2019,alpinestar-rain-suit,Type,Alpinestars Suit Rain Clear XS,160,160
AS32660190013-2019,alpinestar-rain-suit,Type,Alpinestars Suit Rain Clear 3XL,160,160
AS32660190012-2019,alpinestar-rain-suit,Type,Alpinestars Suit Rain Clear XXL,160,160
AS32660190011-2019,alpinestar-rain-suit,Type,Alpinestars Suit Rain Clear XL,160,160
DVBS9,bengio-rib-protector,Type,Bengio Rib Protector XXXL,325,395
DVBS8,bengio-rib-protector,Type,Bengio Rib Protector XXL,325,395
DVBS7,bengio-rib-protector,Type,Bengio Rib Protector XL,325,395
DVBS6,bengio-rib-protector,Type,Bengio Rib Protector L,325,395
DVBS5,bengio-rib-protector,Type,Bengio Rib Protector M,325,395
DVBS4,bengio-rib-protector,Type,Bengio Rib Protector SM,325,395
DVBS3,bengio-rib-protector,Type,Bengio Rib Protector S,325,395
DVBS2,bengio-rib-protector,Type,Bengio Rib Protector XS,325,395
TYKT1465,dunlop-tyre-kt14w13,Type,Dunlop Tyre KT14W13 Rear Wet,75,80
TYKT1445,dunlop-tyre-kt14w13,Type,Dunlop Tyre KT14W13 Front Wet,64,69
DNRC-Y,evs-race-collar,Type,EVS Race Collar R4K Youth Black,190,220
DNRC-L,evs-race-collar,Type,EVS Race Collar R4K Adult Black,240,280
F125SFD4,imaf-seat-silver,Type,IMAF Seat Silver 5 | 350mm,200,260
F124SFD4,imaf-seat-silver,Type,IMAF Seat Silver 4 | 340mm,200,260
F123SFD4,imaf-seat-silver,Type,IMAF Seat Silver IGL 3 | 320mm,200,260
F122SFD4,imaf-seat-silver,Type,IMAF Seat Silver IGL 2 | 305mm,200,260
F121SFD4,imaf-seat-silver,Type,IMAF Seat Silver IGL 1 | 290mm,200,260
SEE60S,imaf-seat-silver,Type,IMAF Seat Silver Junior XS | 265mm,80,120
J.100.05.04.D7.SIL,jecko-seat-closedge,Type,Jecko Seat D7 Silver Closedge 355mm,385,468
J.100.05.04.D5.SIL,jecko-seat-closedge,Type,Jecko Seat D5 Silver Closedge 340mm,385,468
J.100.05.03.C7.SIL,jecko-seat-closedge,Type,Jecko Seat C7 Silver Closedge 320mm,336,415
J.100.05.03.C5.SIL,jecko-seat-closedge,Type,Jecko Seat C5 Silver Closedge 300mm,336,415
J.100.05.02.BH3.SIL,jecko-seat-closedge,Type,Jecko Seat BH3 Silver Closedge 285mm,336,415
J.100.05.02.B3.SIL,jecko-seat-closedge,Type,Jecko Seat B3 Silver Closedge 275mm,336,415
J.100.05.02.B1.SIL,jecko-seat-closedge,Type,Jecko Seat B1 Silver Closedge 260mm,336,415
J.100.05.01.A3.SIL,jecko-seat-closedge,Type,Jecko Seat A3 Silver Closedge 260mm,314,378
J.100.05.01.A1.SIL,jecko-seat-closedge,Type,Jecko Seat A1 Silver Closedge 248mm,314,378
J.100.04.04.D7.SIL,jecko-seat-silver,Type,Jecko Seat D7 Silver (STD) 355mm,385,468
J.100.04.04.D5.SIL,jecko-seat-silver,Type,Jecko Seat D5 Silver (STD) 340mm,385,468
J.100.04.03.C7.SIL,jecko-seat-silver,Type,Jecko Seat C7 Silver (STD) 320mm,336,415
J.100.04.03.C5.SIL,jecko-seat-silver,Type,Jecko Seat C5 Silver (STD) 300mm,336,415
J.100.04.02.BH5.SIL,jecko-seat-silver,Type,Jecko Seat BH5 Silver (STD) 300mm,336,415
J.100.04.02.BH3.SIL,jecko-seat-silver,Type,Jecko Seat BH3 Silver (STD) 285mm,336,415
