Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Current Quantity DS Racing Karts,New Quantity DS Racing Karts,Stock Alert Enabled DS Racing Karts,Stock Alert Count DS Racing Karts
RT572M246MTWCCT4UFS7G4BA,"#219 Chain, 17 Tooth",,Regular,,01401040,Suit Torini Gel Clutch,"Chains (3W6HEJG6ILUK2WY3JDTSMFMW), Torini",Torini,,,,,visible,Physical good,,,,Y,N,N,Y,40.00,,N,,N,,N,,,,,3,,,
OJIBTK2ABBY5LTNQEJUOJKZJ,"#219 Chain, 19 Tooth",,Regular,,01401024,Suit Torini Gel Clutch,"Chains (3W6HEJG6ILUK2WY3JDTSMFMW), Torini",Torini,,,,,visible,Physical good,,,,Y,N,N,Y,40.00,,N,,N,,N,,,,,2,,,
RINXNAIPAI6ERNU24RXUKLQ6,(843) Vortex Mini Rok Engine AUS Complete Cadet 9,,Regular,,VT-WMINIROKAUS09,<ul><li><strong>60CC ENGINE: 2 stroke</strong></li><li><strong>COOLING SYSTEM:  Air-cooled system</strong></li><li><strong>EXHAUST:                 Oval exhaust without rib</strong></li><li><strong>BEARINGS:               Radial bearing C4</strong></li><li><strong>BORE AND STROKE:  42x43mm</strong></li><li><strong>MAX POWER:            10 HP a 11.000 Rpm</strong></li><li><strong>MAX TORQUE:           6.5 Nm a 9.000 Rpm</strong></li><li><strong>MAX:                           15.500 Rpm</strong></li><li><strong>IGNITION:                   Selettra analogic ignition</strong></li><li><strong>CARBURETTOR:        Dell’Orto PHBG Ø 18mm</strong></li><li><strong>SILENCER:                 Vortex intake silencer</strong></li><li><strong>FUEL PUMP:              Dell’Orto</strong></li><li><strong>EXHAUST:                  Mini Rok exhaust with integrated exhaust silencer</strong></li></ul><ul><li><strong>Piston Port</strong></li><li><strong>2 transfer ducts intake</strong></li><li><strong>Integrated electrical starter</strong></li><li><strong>Centrifugal dry-clutch</strong></li><li><strong>Mixture-lubricated</strong></li><li><strong>Cast iron made cylinder CNC worked</strong></li></ul>,,,,,,,visible,Physical good,,,,Y,N,N,Y,3850.00,,N,,N,,N,,,,,,,,
KAPGGLAUWIGXEW4K4TBRLXQG,12 Position Adjustor - 8mm,,Regular,,SAK934B,"Experience precise adjustments with the 12 Position Adjustor - 8mm for your steering and components. Crafted from durable materials, this adjustor ensures easy installation and long-lasting performance.","Steering & Components (MH52ZE4VGZEU6UNJ6LT4GZLC), Steering & Components (N54RAZUE7XRL5AG52IUFGDBN), Stub Axles & Accessories (A46YDZSY2G2N3TG77L323Z2W)",Steering & Components (N54RAZUE7XRL5AG52IUFGDBN),,,,,visible,Physical good,,,,Y,N,N,Y,25.00,,N,,,,N,,,,,2,,,
B7OFG72H5XXX23ZDFHUPNKPD,18 Tooth Sprocket,,Regular,,01400920,Suit Torini Gel Clutch,"Chains (3W6HEJG6ILUK2WY3JDTSMFMW), Torini",Torini,,,,,visible,Physical good,,,,Y,N,N,Y,40.00,,N,,N,,N,,,,,2,,,
NCZMYPARHUCAXTKUBDXZGPEQ,2 Pack Head to Insulator,,Regular,,10CG2,Torini,Torini,Torini,,,,,visible,Physical good,,,,Y,N,N,Y,2.00,,N,,,,N,,,,,0,,,
6PL6O6KHGAVMOXNA65EKEYOD,2 Piston Rear Caliper for 12mm Disc,,Regular,,CH2J12-BB,"With pad spring return-80mm, mounting hole centres - black, braided fittings",Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,visible,Physical good,,,,Y,N,N,Y,405.00,,N,,N,,N,,,,,0,,,
XQGZYPXUA6QOPAYI5QQENH7H,20 Tooth Sprocket,,Regular,,01401026,Suit Torini Gel Clutch,"Chains (3W6HEJG6ILUK2WY3JDTSMFMW), Torini",Torini,,,,,visible,Physical good,,,,Y,N,N,Y,40.00,,N,,N,,N,,,,,1,,,
E4LYMGO4IPMCLM3BFBIFLAD3,4 Piston Brake Calliper,,Regular,,CB4D,76mm mounting hole centred - rear mount,Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,visible,Physical good,,,,,,,,420.04,,N,,,,N,,,,,,,,
CW5RNH5I3FRG3T6MVK3K4XKD,4 Piston Rear Caliper for 18mm Disc,,Regular,,CB4J18-BB,"with pad spring return, 80mm mounting hole centres - Black, Braided Fittings","Brakes & Components (53FLOZODZHPYGPD7K47WR7HN), Chassis Components (2LTVOWDYEKK55ILBAQL737LJ)",Chassis Components (2LTVOWDYEKK55ILBAQL737LJ),,,,,visible,Physical good,,,,Y,N,N,Y,430.00,,N,,N,,N,,,,,2,,,
